Name,Publishers,Developers,Description,Price,Release Date,Tags
Angel Legion,Shanghai SilverMoon Network Technology Co.Ltd,Shanghai SilverMoon Network Technology Co.Ltd,Idle or play whenever and wherever you want. Customize the looking of your favorite Angels. Automatically accumulate resources all the time.,$0.00,"Aug 14, 2020","Sexual Content,Mature,Nudity,Hentai,$0.00,NSFW,Female Protagonist,Anime,3D,Character Customization,RPG,Strategy,Adventure,Idler,Turn-Based Tactics,Singleplayer,Multiplayer,Card Game,MMORPG,Co-op"
KeyWe,Fireshine Games,Stonewheat & Sons,"KeyWe is a cute, co-operative postal puzzler starring Jeff and Debra, two small kiwi birds working in a whimsical post office. They must jump, flap, peck and butt-slam their way across an interactive landscape of levers, bells and buttons to get those messages delivered on time!",$24.99,"Aug 31, 2021","Co-op,Puzzle Platformer,Cute,Casual,Co-op Campaign,Indie,3D Platformer,Local Co-Op,Colorful,Family Friendly,Replay Value,Online Co-Op,Platformer,Multiplayer,Character Customization,Local Multiplayer,3D,Comedy,Puzzle,Cartoon"
Blasphemous 2,Team17,The Game Kitchen,"The Penitent One awakens as Blasphemous 2 joins him once again in an endless struggle against The Miracle. Dive into a perilous new world filled with mysteries and secrets to discover, and tear your way through monstrous foes that stand between you and your quest to end the cycle once and for all.",$29.99,"Aug 24, 2023","Combat,Fantasy,Metroidvania,Souls-like,Adventure,2D Platformer,Pixel Graphics,Difficult,Side Scroller,Hack and Slash,Unforgiving,2D,Platformer,Action RPG,Horror,Action-Adventure,Lore-Rich,Story Rich,Nonlinear,Multiple Endings"
The Quinfall,Vawraek Technology Inc.,Vawraek Technology Inc.,Embark on an adventurous journey to explore the Quinfall universe. Be a part of unique battles and an immersive story with dozens of different professions in the depths of medieval times in an all-new MMORPG experience.,$19.99,"Jan 24, 2025","Early Access,Massively Multiplayer,MMORPG,Open World,RPG,Character Customization,Medieval,Multiplayer,Action RPG,Adventure,PvP,PvE,Hunting,Cooking,Fishing,Building,Crafting,Naval,Mining,Agriculture"
ICBM: Escalation,Slitherine Ltd.,SoftWarWare,"ICBM: Escalation is a grand RTS where you command armies, develop cutting-edge tech, and wield devastating weapons. Conquer enemies with conventional forces or nuclear firepower. With new modes like Standoff and Conquest, the game offers deep strategic layers in a global warfare setting.",$29.99,"Nov 21, 2024","Strategy,RTS,Cold War,War,PvP,Co-op,Multiplayer,Online Co-Op,Singleplayer,Wargame,Destruction,Modern,Grand Strategy"
Ace Attorney Investigations Collection,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Miles Edgeworth's dramatic turnabouts take center stage! Experience both Ace Attorney Investigations games in one gorgeous collection! Investigate crime scenes and solve tough, intriguing cases through logic and deduction. When Edgeworth's past and present collide, his future begins!",$39.99,"Sep 6, 2024","Adventure,Investigation,Mystery,Visual Novel,Crime,2D,Detective,Story Rich,Pixel Graphics,Text-Based,Singleplayer,Choose Your Own Adventure,Great Soundtrack,Anime,Funny,Point & Click,Puzzle,Comedy,LGBTQ+"
Kingdoms and Castles,"Lion Shield, LLC","Lion Shield, LLC","Kingdoms and Castles is a city-building simulation game about growing a kingdom from a tiny hamlet to a sprawling city and imposing castle. Make trade agreements, alliance, and war with neighboring AI controlled kingdoms. Each villager and resource is individually simulated.",$14.99,"Jul 20, 2017","City Builder,Colony Sim,Strategy,Medieval,Building,Simulation,Sandbox,Resource Management,Base Building,Singleplayer,Survival,Management,RTS,Economy,Action,Colorful,Relaxing,Open World,Great Soundtrack,Crafting"
Bread & Fred,Infogrames,SandCastles Studio,"Grab your best bud for help in this new co-op challenge to help two adorable penguins, Bread and Fred, reach the top of the snowy summit. Time your jumps, cling to walls and swing across gaps to see how far you can make it before you tumble all the way back down the mountain.",$14.99,"May 23, 2023","Co-op,Local Co-Op,Cute,Pixel Graphics,2D Platformer,Multiplayer,Difficult,Precision Platformer,2D,Platformer,Local Multiplayer,Funny,Comedy,Family Friendly,Snow,Side Scroller,Online Co-Op,Controller,Casual,Colorful"
Class of '09: The Re-Up,SBN3;Wrath Club,SBN3,The REJECTION SIM returns! Explore a slice of chaotic life in late 2000's American high school as you assume the role of Nicole once again. A 100% fully voiced VN presenting as the most culturally accurate period piece in the history of gaming.,$14.99,"Jun 2, 2023","Visual Novel,Female Protagonist,Comedy,Dark Humor,Anime,Choose Your Own Adventure,Casual,Simulation,Multiple Endings,Narration,Dating Sim,Interactive Fiction,2D,RPG,Hand-drawn,Noir,Third Person,Retro,Drama,Psychological"
Heavenly Bodies,2pt Interactive,2pt Interactive,"Wrangle the hands and arms of a 1970s space cosmonaut and push, pull and twist your way through an increasingly precarious range of physically simulated stellar scenarios, where without gravity, nothing is still, nothing is secure, and nothing is simple.",$19.99,"Dec 7, 2021","Physics,Difficult,Local Co-Op,Space,Adventure,Simulation,Puzzle,Atmospheric,Precision Platformer,Co-op,Stylized,Puzzle Platformer,Singleplayer,Action,Indie,Funny,2.5D,Local Multiplayer,Comedy,Multiplayer"
Blasphemous,Team17,The Game Kitchen,"Blasphemous is a brutal action-platformer with skilled hack’n slash combat set in the nightmare world of Cvstodia. Explore, upgrade your abilities, and perform savage executions on the hordes of enemies that stand between you and your quest to break eternal damnation.",Blasphemous Demo,"Sep 10, 2019","Metroidvania,Pixel Graphics,Souls-like,Dark Fantasy,Gore,2D,Violent,Action,Indie,Difficult,Platformer,Singleplayer,Blood,Adventure,Gothic,Horror,Lore-Rich,Great Soundtrack,Side Scroller,Nudity"
FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,"FINAL FANTASY XII THE ZODIAC AGE - This revered classic returns, now fully remastered for the first time for PC, featuring all new and enhanced gameplay.",$49.99,"Feb 1, 2018","RPG,JRPG,Fantasy,Singleplayer,Story Rich,Great Soundtrack,Open World,Adventure,Exploration,Classic,Action,Real-Time with Pause,Party-Based RPG,Third Person,Turn-Based,Anime,Remake,Atmospheric,Strategy,Female Protagonist"
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","The legendary crossover hits are back! The action-packed lineup consisting of seven unique titles, is full of heavy hitters like X-MEN VS. STREET FIGHTER, and MARVEL vs. CAPCOM 2 New Age of Heroes. The collection also includes the rare beat 'em up game, THE PUNISHER.",$49.99,"Sep 12, 2024","Action,2D Fighter,Multiplayer,Beat 'em up,Singleplayer,Comic Book,Pixel Graphics,Retro,Superhero,1990's,Fighting,Online Co-Op,Local Multiplayer,Arcade,Score Attack,Local Co-Op,Classic,Co-op,Great Soundtrack"
Bomb Rush Cyberfunk,Team Reptile,Team Reptile,Bomb Rush Cyberfunk is 1 second per second of advanced funkstyle. Battle rival crews and dispatch militarized police to conquer the five boroughs of New Amsterdam. Become All City.,$39.99,"Aug 18, 2023","Action,3D Platformer,Stylized,Adventure,Parkour,Colorful,3D,Cyberpunk,Great Soundtrack,Futuristic,Cartoon,Anime,Jet,Walking Simulator,Relaxing,Indie,Singleplayer,Transhumanism,Score Attack,Skating"
Assassin's Creed® III Remastered,Ubisoft Entertainment,Ubisoft Entertainment,"Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered, with enhanced graphics and improved gameplay mechanics. Also includes Assassin's Creed Liberation remastered and all solo DLC content.",$39.99,"Mar 29, 2019","Action,Adventure,Assassin,Open World,Stealth,Historical,Parkour,Singleplayer,Third Person,Story Rich,America,Multiplayer,Great Soundtrack,RPG,Gore,Action-Adventure,Atmospheric,Action RPG,Co-op,Alternate History"
Astronomics,Numizmatic,Numizmatic,"Top-down action and space exploration meet asteroid mining automation! Navigate to randomly generated asteroids passing by and start mining. Impress your employer, upgrade your equipment, fight off pirates and save up for that ticket to Earth so you can finally come home... for the very first time.",$19.99,"Feb 10, 2025","Early Access,Space,Strategy,Procedural Generation,Exploration,Tower Defense,Action,Top-Down,Physics,Management,Colorful,Time Management,Top-Down Shooter,Twin Stick Shooter,3D,Looter Shooter,Sci-fi,Space Sim,Crafting,Simulation"
Tomb Raider I-III Remastered Starring Lara Croft,Aspyr,Aspyr;Crystal Dynamics,Play the original three Tomb Raider adventures with all expansions and secret levels in this definitive collection.,$29.99,"Feb 14, 2024","Action-Adventure,Female Protagonist,Action,Old School,Exploration,3D,Singleplayer,Adventure,Puzzle,Classic,Controller,Atmospheric,Violent,Platformer,Remake,Difficult,Great Soundtrack,Story Rich,Horror,Nudity"
Total War: ATTILA,SEGA,CREATIVE ASSEMBLY,"Against a darkening background of famine, disease and war, a new power is rising in the great steppes of the East. With a million horsemen at his back, the ultimate warrior king approaches, and his sights are set on Rome… The next instalment in the multi award-winning PC series that combines turn-based strategy with real-time tactics,...",$44.99,"Feb 17, 2015","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Co-op,Atmospheric,Action,Turn-Based,Survival,Simulation,Open World,Adventure"
Zompiercer,DDDimanN,DDDimanN,"Take control of the train which will become your haven on the rails. Collect resources, craft equipment, construct a cozy house on railway cars, and travel through the carefully handcrafted locations to explore the story of a zombie apocalypse world.",$19.99,"Apr 3, 2020","Early Access,Sandbox,FPS,Shooter,Zombies,Action-Adventure,Action RPG,Post-apocalyptic,First-Person,Base Building,3D,Horror,Open World,Funny,Trains,Survival,Casual,Action,Stealth,Agriculture"
Outlast,Red Barrels,Red Barrels,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",$19.99,"Sep 4, 2013","Horror,First-Person,Survival Horror,Atmospheric,Psychological Horror,Gore,Singleplayer,Survival,Dark,Adventure,Action,Multiplayer,Indie,Stealth,Nudity,Parkour,Difficult,Walking Simulator,3D Vision,Sci-fi"
THE GAME OF LIFE 2,Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,"The board game played by 50 million fans worldwide has an official award-winning sequel! The Game of Life 2 brings bright, fun, 3D animated magic to your game night. Spin the spinner and discover new choices, new crossroads and new ways to win. The decisions are all yours!",$12.49,"Dec 11, 2020","Board Game,Multiplayer,Party,Tabletop,Family Friendly,Card Game,Life Sim,Sequel,Simulation,Casual,Strategy,Choices Matter,Choose Your Own Adventure,Character Customization,3D,Cartoon,PvP,Local Multiplayer,4 Player Local,Colorful"
Arizona Sunshine® 2,Vertigo Games,Vertigo Games,"It's time to say hello to your old pal, Fred. Arizona Sunshine® 2, the next-gen sequel to the fan-favorite VR apocalypse, packs even more gore-geous zombie action! And what's better than braving the end of the f*cking world alone? Surviving it with your new best friend--Buddy.",$39.99,"Dec 7, 2023","VR,Action,Adventure,Zombies,Action-Adventure,Shooter,FPS,3D,First-Person,Realistic,America,Atmospheric,Dark Humor,Dog,Dystopian,Funny,6DOF,Combat,Linear,Physics"
March of Empires,Gameloft,Gameloft,"Claim your title as Shogun, Highland King, Northern Tsar or Desert Sultan and join this genre-redefining strategy game where you will wage constant war for real territorial conquest! Fortify your castle, fuel a massive army, and enter the ultimate fight for realm domination!",$0.00,"Dec 11, 2017","$0.00,Wargame,Medieval,Strategy,War,PvP,Massively Multiplayer,Base Building,Action RTS,4X,RTS,Action,Co-op,City Builder,Real Time Tactics,Crafting,RPG,3D,Top-Down,Character Customization"
Forts,EarthWork Games,EarthWork Games,"Unleash your creativity and strategic prowess in Forts, the exhilarating physics-based RTS! Design, construct, and customize imposing fortresses, bristling with devastating firepower, and blast your opponent’s buildings to rubble!",$14.99,"Apr 19, 2017","Base Building,Multiplayer,Physics,Strategy,Destruction,Building,Moddable,Sandbox,Action,2D,Military,Tactical,Memes,Singleplayer,Funny,Level Editor,Indie,Retro,Pixel Graphics,Lemmings"
Return of the Obra Dinn,3909,Lucas Pope,Lost at sea 1803 ~ The good ship Obra Dinn.,$19.99,"Oct 18, 2018","Detective,Mystery,Puzzle,Story Rich,Atmospheric,Singleplayer,Indie,Great Soundtrack,First-Person,Historical,Adventure,Naval,Difficult,Retro,Multiple Endings,Violent,Pirates,Horror,Walking Simulator,Noir"
In Stars And Time,Armor Games Studios,insertdisc5,Live with the ever-present burden of being trapped in a time loop only you can know about in this turn-based RPG. Create a better future for you and your friends. Find hope where there is none left. Pray to the stars and free yourself from time.,$19.99,"Nov 20, 2023","Story Rich,RPG,LGBTQ+,Emotional,Party-Based RPG,2D,Turn-Based Combat,Lore-Rich,Singleplayer,Fantasy,Stylized,Psychological Horror,Pixel Graphics,Atmospheric,Time Travel,Hand-drawn,Choices Matter,Indie,Anime,Cartoon"
Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy,A game I made for a certain kind of person. To hurt them.,$7.99,"Dec 6, 2017","Psychological Horror,Difficult,Singleplayer,Physics,Philosophical,Horror,Funny,Platformer,Indie,Survival Horror,Casual,Dark Humor,Replay Value,Adventure,Action,Comedy,Story Rich,Strategy,Great Soundtrack,Third Person"
Halls of Torment,Chasing Carrots,Chasing Carrots,"Slay hordes of terrifying monsters in this horde survival roguelite. Descend into the Halls of Torment where the Lords of the underworld await you. Treasures, magical trinkets, and a growing cast of heroes will grant you the power to vanquish these horrors from beyond. How long can you survive?",$6.66,"Sep 24, 2024","Action Roguelike,Roguelite,Bullet Hell,Pixel Graphics,Action RPG,Dark Fantasy,Roguelike,Action,RPG,Arcade,Hack and Slash,Top-Down,2D,Singleplayer,Atmospheric,Dark,Demons,Gothic,Fantasy,Medieval"
SMITE®,Hi-Rez Studios,Titan Forge Games,"Join 40+ million players in SMITE, the Battleground of the Gods! Wield Thor’s hammer, turn your foes to stone as Medusa, or flex your divine power as one of 100+ other mythological icons. Become a God and play FREE today!",$0.00,"Sep 8, 2015","$0.00,MOBA,Multiplayer,Action,Third Person,Strategy,Mythology,MMORPG,Team-Based,Nostalgia,Competitive,Anime,PvP,Co-op,eSports,Massively Multiplayer,RPG,Adventure,Casual,Strategy RPG"
Riven,Cyan Worlds Inc,Cyan Worlds Inc,"Uncover a story of intrigue, betrayal, and a civilization teetering on the brink of collapse as you solve intricate puzzles to unlock the secrets of Riven. Built from the ground-up and expanded from the award-winning original game released in 1997.",$34.99,"Jun 25, 2024","Puzzle,Adventure,Exploration,First-Person,Story Rich,Singleplayer,Atmospheric,Mystery,3D,Walking Simulator,Emotional,Casual,Logic,VR,Realistic,Investigation,Surreal,Philosophical,Relaxing,Multiple Endings"
I Am Your Beast,Strange Scaffold;Frosty Pop,Strange Scaffold,"Hunt the military-industrial complex across stylish comic book micro-sandboxes in this fast-paced covert revenge thriller FPS from the developers of El Paso, Elsewhere.",$19.99,"Sep 10, 2024","FPS,Fast-Paced,Arcade,Action,Violent,First-Person,Shooter,Gore,Singleplayer,Colorful,Indie,Combat,Narrative,Noir,Military,Tactical,Retro,Open World,PvE,LGBTQ+"
GigaBash,Passion Republic Games,Passion Republic Games,"GigaBash is the ultimate Kaiju Fighting Game for 1-4 players, where you battle as film-inspired Kaijus and giant Heroes in fully destructible cityscapes.",$24.99,"Aug 4, 2022","Superhero,Action,Fighting,Party,4 Player Local,Multiplayer,Casual,Nostalgia,Destruction,Family Friendly,Singleplayer,3D Fighter,Competitive,Combat,Colorful,Controller,Arcade,Retro,Minigames,Battle Royale"
The Coin Game,Kwalee,devotid,"A collection of ticket redemption arcades with realistic physics, a carnival, goofy robots, open world design, a global ranking system and silly prizes. Featuring 50+ modern inspired arcade machines and a pawn shop to keep money in your pocket. The Coin Game is made by a solo developer.",$13.99,"Feb 22, 2019","Life Sim,Arcade,Open World,Casual,Physics,First-Person,Simulation,Survival,Funny,Character Customization,Realistic,Family Friendly,Atmospheric,Gambling,Singleplayer,Adventure,Multiplayer,Indie,Early Access,Sandbox"
Uncrashed : FPV Drone Simulator,Louis Rochette,Louis Rochette,"Amateur or experienced FPV pilot, learn or improve your skills on Uncrashed,the new ultra realistic FPV simulator. Simulate your own FPV drone with settings based on real values and you will have the same feeling as a real flight without the risk of breaking your drone !",$14.99,"Sep 1, 2021","Simulation,Flight,Sports,Racing,Physics,Singleplayer,Realistic,First-Person,3D,6DOF,Immersive Sim,Indie,Action,Exploration,Science,Combat Racing,VR"
MULLET MADJACK,Epopeia Games;HAMMER95,HAMMER95,MULLET MADJACK is a HIGH-OCTANE-ACTION SHOOTER that put you directly inside a CLASSIC ANIME. Pick your favorite weapon and reach the last floor; Beat your best time or try again. Haste makes waste… OF YOUR ENEMIES!,$19.99,"May 15, 2024","FPS,Fast-Paced,Boomer Shooter,Arcade,Action,Singleplayer,Indie,Anime,Cyberpunk,Shooter,Stylized,2.5D,Score Attack,First-Person,3D,Robots,Retro,Roguelite,1980s,1990's"
Monster Care Simulator,Banana Tiger Studio,Banana Tiger Studio,"Manage a care center for adorable monsters in Monster Care Simulator! Treat clients' creatures, hatch eggs, raise your own companions, and keep them happy with fun activities. Hire staff, expand your facilities, and customize your space to build the ultimate monster sanctuary!",$12.99,"Apr 4, 2025","Early Access,Simulation,Management,Economy,Creature Collector,Singleplayer,Immersive Sim,Nature,Tutorial,Life Sim,First-Person,Casual,Cute,Relaxing,3D,Colorful,Realistic,Stylized,Family Friendly,Atmospheric"
Backpack Battles,PlayWithFurcifer;IndieArk,PlayWithFurcifer,"A PvP inventory management auto battler! Buy and craft powerful items, then carefully arrange them in your backpack.",$12.99,"Mar 8, 2024","Early Access,Auto Battler,Inventory Management,Strategy,PvP,Roguelike Deckbuilder,Asynchronous Multiplayer,Multiplayer,Indie,Tactical,Card Battler,Turn-Based,Roguelike,Loot,Combat,Replay Value,2D,Cute,Female Protagonist,Hand-drawn"
100% Orange Juice,Fruitbat Factory,Orange_Juice,"100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice.",$6.99,"Sep 10, 2013","Anime,Board Game,Cute,Multiplayer,Strategy,Card Game,Turn-Based,Indie,Casual,Funny,Great Soundtrack,Co-op,Female Protagonist,Singleplayer,2D,Difficult,Memes,Family Friendly,Comedy,Survival Horror"
BONEWORKS,Stress Level Zero,Stress Level Zero,"BONEWORKS is an Experimental Physics VR Adventure. Use found physics weapons, tools, and objects to fight across dangerous playscapes and mysterious architecture.",$29.99,"Dec 10, 2019","VR,Physics,Action,Sandbox,Shooter,Singleplayer,Great Soundtrack,Adventure,Puzzle,First-Person,Simulation,Realistic,FPS,Violent,Indie,Horror,Parkour,Sci-fi,Gore,Funny"
Make Way,Secret Mode,Ice BEAM,"Speed around loops, dart through train crossings, drift around helter skelters, and unleash wacky weaponry in this modern take on classic top-down multiplayer racing games. The twist? You build the track.",$14.99,"Dec 4, 2023","Local Multiplayer,Multiplayer,Party,Racing,PvP,Building,Funny,Family Friendly,Arcade,Action,Combat Racing,Casual,Comedy,Top-Down,Combat,Cartoony,Procedural Generation,Colorful,3D,LEGO"
Homicipher,Gamera Games,八名木Games,"Homicipher is a language deciphering and exploration ADV based on the concept of ""romance with horror men."" The protagonist, who has wandered into another world, interacts with non-human beings to decipher their language while striving to escape.",$13.99,"Nov 1, 2024","Horror,Otome,Female Protagonist,Visual Novel,Atmospheric,Text-Based,Choose Your Own Adventure,Multiple Endings,Word Game,Choices Matter,Conversation,Singleplayer,Interactive Fiction,First-Person,Exploration,Dark,Thriller,Hand-drawn,Adventure,Typing"
The Universim,Crytivo,Crytivo,"Jump straight into managing your own planets as you guide a civilization through the ages. Build the ultimate empire in The Universim, a new breed of God Game in development by Crytivo.",$29.99,"Jan 22, 2024","City Builder,God Game,Colony Sim,Sandbox,Building,Casual,Survival,Management,Strategy,Space,Simulation,Procedural Generation,Colorful,Sci-fi,Resource Management,Singleplayer,Aliens,Open World,Real-Time with Pause,Exploration"
AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,"Welcome, eager young investor, to AdVenture Capitalist! Arguably the world's greatest Capitalism simulator!",$0.00,"Mar 30, 2015","Clicker,Idler,Capitalism,Management,Automation,Real-Time,Point & Click,Character Customization,Strategy,Relaxing,2D,Funny,Casual,Simulation,Family Friendly,Comedy,Adventure,Memes,Singleplayer,$0.00"
Unravel Two,Electronic Arts,Coldwood Interactive,"When you cut ties to the past, new bonds form. Build relationships with other Yarnys in local co-op or as a single player, fostering friendship and support as you journey together.",$19.99,"Jun 9, 2018","Co-op,Local Co-Op,Puzzle,Multiplayer,Adventure,Split Screen,Action,Singleplayer,Cute,Family Friendly,Local Multiplayer,Colorful,Platformer,Atmospheric,Action-Adventure,Online Co-Op,Puzzle Platformer,Controller,Indie,2D"
Chants of Sennaar,Focus Entertainment,Rundisc,"In this award-winning puzzle adventure game, play as the Traveler on a quest to reunite the Peoples of the Tower. Observe, listen, and decipher ancient languages in a fascinating universe inspired by the Myth of Babel.",$19.99,"Sep 5, 2023","Puzzle,Adventure,Singleplayer,Indie,Colorful,Point & Click,Word Game,Atmospheric,Stylized,Detective,Action-Adventure,Puzzle Platformer,Mythology,Great Soundtrack,Stealth,Exploration,Story Rich,Relaxing,Mystery,Difficult"
Fantasy Map Simulator,The Stranger,The Stranger,"Fantasy Map Simulator: Create and watch imaginary worlds evolve over centuries. Design maps, simulate nations, and control destinies. See empires rise and fall on your desktop wallpaper. A unique simulation for history buffs and creative minds.",$7.99,"Sep 4, 2024","Early Access,God Game,Sandbox,Alternate History,Idler,Grand Strategy,Level Editor,Political Sim,Artificial Intelligence,Medieval,Politics,War,Colony Sim,Wargame,Military,Crafting,Strategy,2D,Simulation,Historical"
Holdfast: Nations At War,Anvil Game Studios,Anvil Game Studios,Fight on multiple fronts in Holdfast: Nations At War - A multiplayer first and third-person shooter set during the great Napoleonic Era and WW1. Charge into battle with over 150 players per server!,$19.99,"Mar 5, 2020","Shooter,FPS,Multiplayer,War,Action,Military,Historical,Wargame,World War I,Tactical,Simulation,Combat,Third-Person Shooter,PvP,Naval,Memes,Strategy,First-Person,Third Person,Team-Based"
"Dwarves: Glory, Death and Loot",INSTINCT3;Gamersky Games,ichbinhamma,"Create your fully customizable army of dwarves and lead them to victory! Strategize with up to 10 individual beardlings in this combination of classic RPGs, roguelikes and auto-battlers. Forge your own path and decimate orcs, fight trolls or battle dragons - There will be Glory, Death and Loot!",$13.99,"Aug 17, 2023","Early Access,Dwarf,Auto Battler,RPG,Character Customization,Strategy,Roguelike,Tactical RPG,Inventory Management,Pixel Graphics,Roguelite,Procedural Generation,Casual,Fantasy,Loot,Singleplayer,Strategy RPG,Magic,Indie,Perma Death"
PolyPine,Cloudberry Pine,Cloudberry Pine,"A forest simulator where you grow trees and create habitats for animals, plants and insects. Click on animals to make them poop, hunt, dig, cut and twerk! Start with a few basic seeds and attempt to grow a thriving ecosystem.",$8.99,"Mar 31, 2025","Clicker,Simulation,Nature,Sandbox,Idler,Casual,Relaxing,Singleplayer,God Game,Procedural Generation,Management,Family Friendly,Atmospheric,2D,Indie"
KARDS - The WW2 Card Game,1939 Games,1939 Games,"KARDS, The World War II Card Game, combines traditional CCG gameplay with innovative mechanics inspired by classic strategy games and real battlefield tactics. Take command and challenge other players in grand-scale warfare on the ground, air, or seas.",$0.00,"Apr 15, 2020","$0.00,Card Game,World War II,Trading Card Game,Wargame,Turn-Based Strategy,PvP,Board Game,Strategy,Top-Down,Turn-Based Combat,Deckbuilding,Historical,Tanks,Multiplayer,Military,War,Casual,Realistic,Singleplayer"
MementoMori,"Bank of Innovation, Inc.","Bank of Innovation, Inc.",Dive into a World Where Sorrow Meets Beauty,$0.00,"Mar 24, 2025","RPG,Simulation,Auto Battler,JRPG,Tactical RPG,Idler,2D,Cute,Anime,Hand-drawn,Medieval,Dark Fantasy,Fantasy,Magic,Atmospheric,Turn-Based Tactics,Emotional,PvE,PvP,Female Protagonist"
Pinball FX,Zen Studios,Zen Studios,Pinball FX is digital pinball evolved. Get the highest score on tables inspired by the biggest brands in entertainment. New tables arrive frequently!,Free,"Apr 13, 2023","$0.00,Pinball,Arcade,Realistic,Retro,1980s,1990's,Simulation,Physics,Atmospheric,Casual,Score Attack,Family Friendly,3D,Relaxing,Singleplayer,Local Multiplayer,Asynchronous Multiplayer,4 Player Local,Top-Down"
Dragon Age™ Inquisition,Electronic Arts,BioWare,"Winner of over 130 Game of the Year awards, discover the definitive Dragon Age: Inquisition experience. The Game of the Year Edition includes the critically acclaimed game, all three official add-ons - Jaws of Hakkon, The Descent, and Trespasser - and more.",$39.99,"Nov 18, 2014","RPG,Character Customization,Open World,Choices Matter,Fantasy,Story Rich,Singleplayer,Sexual Content,Adventure,Action,Multiplayer,Dragons,Third Person,Action RPG,Strategy,Female Protagonist,Great Soundtrack,Atmospheric,Combat,LGBTQ+"
Sticky Business,Assemble Entertainment,Spellgarden Games,"Experience the joy of running your own cozy small business: Create stickers, pack orders and hear your customers’ stories. Time to build the cutest shop on the internet!",$9.99,"Jul 17, 2023","Casual,Relaxing,Simulation,Cute,Indie,Wholesome,Pixel Graphics,Colorful,Puzzle,LGBTQ+,Family Friendly,Singleplayer,Life Sim,Cozy,2D,Sandbox,Economy,Point & Click,Atmospheric,Immersive Sim"
"Gunner, HEAT, PC!",Radian Simulations LLC,Radian Simulations LLC,"Gunner, HEAT, PC! (GHPC) is a simulation game about modern mounted combat, with special attention to authenticity and fun.",$29.99,"Sep 6, 2022","Early Access,Simulation,Tanks,Realistic,Military,Vehicular Combat,Cold War,Immersive Sim,1980s,Modern,Historical,Action,Shooter,Wargame,FPS,3D,First-Person,Third Person,Alternate History,Destruction"
Visage,SadSquare Studio,SadSquare Studio,"Visage is a first-person psychological horror game. Explore a mysterious ever-changing house in a slow-paced, atmospheric world that combines both uncannily comforting and horrifyingly realistic environments, and enjoy a genuinely terrifying experience.",$34.99,"Oct 29, 2020","Horror,Psychological Horror,Survival Horror,Dark,First-Person,Multiplayer,Singleplayer,Atmospheric,Adventure,Indie,Violent,Exploration,Walking Simulator,Realistic,Surreal,Story Rich,Simulation,Early Access,Experimental,Action"
EA SPORTS™ WRC,Electronic Arts,Codemasters,"Experience the thrill of the 2024 rally season with new locations, moments, stages, high-performance vehicles, new liveries, and licensed crews. Brace yourself to embark on your continued rally journey.",$49.99,"Nov 2, 2023","Racing,Simulation,Automobile Sim,Sports,Offroad,Multiplayer,PvP,Singleplayer,VR,Early Access,Driving,Realistic"
My Dream Setup,Campfire Studio,Campfire Studio,"My Dream Setup is a simulation game about building the room you've always dreamed of. A huge selection of furniture, computers and their accessories, posters, pictures, plants, and other interior details await you. Try all of them and create your dream setup.",$5.99,"Feb 20, 2023","Design & Illustration,Relaxing,Building,Simulation,Sandbox,Casual,Indie,Immersive Sim,Cute,Cozy,Atmospheric,Minimalist,3D,Stylized,Management,Isometric,Colorful,Singleplayer,Music,Replay Value"
Thief Simulator,PlayWay S.A.,Noble Muffins,"Become the best thief. Gather intel, steal things and sell them to buy hi-tech equipment. Do everything that a real thief does.",$19.99,"Nov 9, 2018","Simulation,Stealth,Singleplayer,Crime,First-Person,Open World,Adventure,Heist,Action,Indie,Co-op,Sandbox,Funny,Realistic,Exploration,FPS,RPG,Atmospheric,Silent Protagonist,Immersive Sim"
Beyond Citadel,doekuramori,doekuramori,"Beyond Citadel is an anime style retro throwback shooter inspired by the classics of the 90's, with realistic gunplay mechanics, anime violence and fast paced combat. Fight your way through the heavily armed mechanical fortress and discover the secret that lies beneath.",$14.99,"Jan 2, 2025","FPS,Boomer Shooter,Female Protagonist,Shooter,2.5D,Action-Adventure,First-Person,Anime,Cute,Comic Book,Cyberpunk,Action,Vehicular Combat,Pixel Graphics,Gore,Sci-fi,Dark Fantasy,Old School,Cartoon,Dark"
